Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Lithuania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,879.45","19,184.84","19,552.90","19,916.50","22,244.97","23,635.58","24,827.81","26,019.57",2019
Luxembourg,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","108,621.75","117,859.72","115,838.77","116,921.11","131,781.72","139,125.62","143,915.92","148,001.91",2020
Macao SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","77,257.33","82,862.88","81,156.61","36,350.16","58,003.70","82,252.93","86,350.03","90,926.66",2019
Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",515.935,533.197,539.953,501.756,521.485,551.078,581.963,608.966,2010
Malawi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",325.01,350.441,377.721,406.65,431.581,434.462,436.885,442.249,2016
Malaysia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,965.12","11,077.43","11,213.12","10,269.86","11,603.69","12,350.03","13,251.03","14,096.46",2019
Maldives,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,201.45","14,476.59","15,148.80","9,934.09","11,800.60","13,440.04","15,187.79","16,203.39",2014
Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",854.976,922.55,907.218,897.287,983.379,"1,046.28","1,090.69","1,135.59",2017
Malta,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,713.10","31,263.20","30,832.79","28,293.63","31,576.37","33,968.92","35,881.57","38,040.35",2020
Marshall Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,898.58","4,061.68","4,363.11","4,240.10","4,205.50","4,404.51","4,568.37","4,715.21",2018
Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,747.75","1,775.32","1,953.87","1,971.45","2,178.89","2,012.95","2,078.94","2,152.67",2014
Mauritius,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,485.01","11,205.90","11,090.43","8,993.48","9,639.31","10,571.28","11,115.14","11,528.41",2018
Mexico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,342.92","9,753.19","10,024.42","8,421.19","9,246.01","9,614.98","9,965.80","10,346.05",2020
Micronesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,522.11","3,854.14","3,952.22","3,899.48","3,820.72","4,008.89","4,165.54","4,268.74",2018
Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,478.52","4,141.84","4,458.19","4,365.85","4,637.58","4,949.79","5,293.18","5,660.40",2019
Mongolia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,595.38","4,056.73","4,245.46","3,916.09","4,171.69","4,503.62","4,798.78","5,066.81",2019
Montenegro,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,800.27","8,854.78","8,902.68","7,688.57","9,064.16","9,787.85","10,345.67","10,844.96",2019
